odd_steps_a,length_L,a_over_L,log_gap_Lln2_minus_aln3,branch_type
1,1,1,-0.405465108108164381978013115464349136571990423462494197614014324144100671248914251267752423,expansive
1,2,0.5,0.28768207245178092743921900599382743150350971089776105650666568534929295072078046433811090,contractive
2,3,0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,-0.11778303565638345453879410947052170506848071256473314110734863879480772052813378692964152,expansive
5,8,0.625,0.05211600113901401836163078705278402136654828576829477429196840775967750966451289047882787,contractive
12,19,0.631578947368421052631578947368421052631578947368421052631578947368421052631578947368421053,-0.0135510333783554178155325353649536623353841410281435925234118232754527011991080059719858,expansive
41,65,0.630769230769230769230769230769230769230769230769230769230769230769230769230769230769230769,0.0114629010039477649150331809579230343603958626838639967217329379333194060671888725628705,contractive
53,84,0.630952380952380952380952380952380952380952380952380952380952380952380952380952380952380952,-0.0020881323744076529004993544070306279749882783442795958016788853421332951319191334091153,expansive
306,485,0.630927835051546391752577319587628865979381443298969072164948453608247422680412371134020619,0.001022239131909500412536408922769894485454470962466017713338511222652930407593205517294,contractive
665,1054,0.630929791271347248576850094876660341555977229601518026565464895635673624288425047438330171,-0.000043654110588652075426536561490839004079336419347560375001862896827434316732722374527,expansive
15601,24727,0.630929752901686415658996238929105835726129332308812229546649411574392364621668621345088365,0.0000181945883705026777260680084805973916297333174721290882956645956219411227405909032,contractive
31867,50508,0.630929753702383780787202027401599746574800031678149996040231250494971093688128613288983923,-0.0000072649338476467199744005445296442208198697844033021984105337055835520712515405682,expansive
